month,n,wr_pct,start_bal,end_bal,ret_pct,within_dd
2022-09,39,97.43589743589743,1215870.816915975,1413588.8576494744,16.261434848399947,4.6508205128205224
2022-10,47,95.74468085106383,1413588.8576494744,1566467.745106122,10.814947120540808,4.674962750716323
2022-11,21,90.47619047619048,1566467.745106122,1604079.1130384682,2.4010304744447986,9.13137273422673
2022-12,10,100.0,1604079.1130384682,1692339.1511198643,5.502224757120167,0.0
2023-01,19,94.73684210526315,1692339.1511198643,1758406.2438059915,3.9038919972045116,4.650820512820535
2023-02,48,93.75,1758406.2438059915,2107749.9322654186,19.867063694183006,4.674962750716323
2023-03,51,92.15686274509804,2107749.9322654186,2416667.797270508,14.656286321075251,6.459065966528716
2023-04,26,100.0,2416667.797270508,2844332.3451369763,17.69645577060661,0.0
2023-05,32,93.75,2844332.3451369763,3083119.619757626,8.395195977323478,6.0949881441120155
2023-06,34,97.05882352941177,3083119.619757626,3484044.329792042,13.003864899213147,4.674962750716337
2023-07,16,93.75,3484044.329792042,3602667.8088785275,3.4047637704301525,4.674962750716326
2023-08,15,86.66666666666667,3602667.8088785275,3496376.2385435933,-2.9503572345189855,8.25715943068433
2023-09,15,93.33333333333333,3496376.2385435933,3572110.232318487,2.166071057800134,4.674962750716298
2023-10,33,96.96969696969697,3572110.232318487,4032133.0941886,12.878182137496186,4.65082051282049
2023-11,23,86.95652173913044,4032133.0941886,4146174.5492799343,2.828315743240206,5.531880334345743
2023-12,42,97.61904761904762,4146174.5492799343,4735014.880392217,14.202014992700839,4.674962750716309
2024-01,52,90.38461538461539,4735014.880392217,5330866.254689973,12.583938791094141,10.422282967475894
2024-02,31,96.7741935483871,5330866.254689973,5965602.777438866,11.906817624442677,4.650820512820489
2024-03,30,100.0,5965602.777438866,8153012.752177095,36.667040303298926,0.0
2024-04,52,92.3076923076923,8153012.752177095,8640555.874044495,5.979913642809054,13.346093244790397
2024-05,56,96.42857142857143,8640555.874044495,11188680.371592773,29.490284360091113,4.674962750716329
2024-06,26,96.15384615384616,11188680.371592773,11997918.687103117,7.232652007514129,4.67496275071628
2024-07,55,96.36363636363636,11997918.687103117,14977451.074715793,24.833743796042352,9.131372734226755
2024-08,60,98.33333333333333,14977451.074715793,19300233.985092018,28.86193978409142,4.674962750716285
2024-09,43,97.67441860465115,19300233.985092018,24181120.556878716,25.28926113308687,4.674962750716343
2024-10,30,93.33333333333333,24181120.556878716,26911515.53304344,11.291432792546985,4.674962750716298
2024-11,43,100.0,26911515.53304344,36001916.781817645,33.778852913774074,0.0
2024-12,55,92.72727272727272,36001916.781817645,39506713.16886506,9.735027188378687,8.467093043978274
2025-01,47,93.61702127659575,39506713.16886506,43607906.24709317,10.381002997384826,4.674962750716346
2025-02,37,94.5945945945946,43607906.24709317,52192006.37070518,19.68473348610771,4.674962750716354
2025-03,37,100.0,52192006.37070518,61770609.22657424,18.352624323033172,0.0
2025-04,34,97.05882352941177,61770609.22657424,68328769.1885436,10.616958524585796,4.674962750716341
2025-05,28,96.42857142857143,68328769.1885436,80623508.43390858,17.993503163271352,4.6508205128205224
2025-06,18,77.77777777777779,80623508.43390858,74190913.02846421,-7.978560509702348,11.17687540212315
2025-07,31,96.7741935483871,74190913.02846421,86197376.19386636,16.183199094470947,4.674962750716278
2025-08,24,95.83333333333334,86197376.19386636,91757241.34630072,6.4501559072165815,4.650820512820529
2025-09,16,93.75,91757241.34630072,95511761.47237664,4.091797084336912,4.650820512820544
2025-10,30,83.33333333333334,95511761.47237664,84198832.38258463,-11.844540311471352,15.991192564940143
2025-11,29,86.20689655172413,84198832.38258463,78193840.90849583,-7.131917752497063,14.160745725075973
2025-12,20,85.0,78193840.90849583,73614020.05829078,-5.857009704337779,6.790483224923621
2026-01,32,90.625,73614020.05829078,74681384.49619624,1.449947220733594,8.1965984631616
2026-02,28,100.0,74681384.49619624,89322324.75912873,19.60453781313898,0.0
2026-03,34,94.11764705882352,89322324.75912873,104511869.97867413,17.00531783124355,6.104184998158789
2026-04,39,100.0,104511869.97867413,134245736.6382423,28.45022930470522,0.0
2026-05,15,100.0,134245736.6382423,144049795.3092768,7.303068921625355,0.0
