feature,bucket,train_n,oos_n,train_mean_bps,oos_mean_bps,train_excess_bps,oos_excess_bps,train_wr_pct,oos_wr_pct,train_sharpe_ish,oos_sharpe_ish,train_range_low,train_range_high
price_vs_ema_200,4,18366,14727,2.894901992025996,0.33386164307896216,1.792483210548183,-1.2627959875354384,47.097898290319065,47.62680790385007,0.019876143157462615,0.003157281236341546,0.01402227965118684,0.1403598215863173
ema_20_slope,0,18364,14969,3.6972910732351694,4.129621689922937,2.6622527862606375,2.5329640593085365,55.592463515573954,54.766517469436835,0.022649698038332815,0.034111862164681025,-0.07204330151038334,-0.003340368513823604
ema_20_slope,1,18363,17955,0.0005244190230363621,0.21899967948390459,-1.0345138679514951,-1.3776579511304958,54.8929913412841,52.03007518796993,4.94613852429222e-06,0.0023383404207336397,-0.003340368513823604,-0.0007042844989729506
ema_20_slope,2,18363,15836,0.44228099410417054,0.0936088948001187,-0.592757292870361,-1.5030487358142817,49.40913794042368,51.47133114422834,0.004832146537221297,0.001064112255368696,-0.0007042844989729506,0.0007764213915787117
ema_20_slope,3,18363,18712,0.28430817468599207,0.7297833877240257,-0.7507301122885395,-0.8668742428903747,44.70402439688504,49.075459598118854,0.002447000661735155,0.007774931532835155,0.0007764213915787117,0.0033926541254174873
ema_20_slope,4,18363,16365,0.7506417946386315,3.236935059400116,-0.28439649233590014,1.6402774287857154,46.71349997277133,49.208677054689886,0.0049967255310214495,0.028674536448060665,0.0033926541254174873,0.06398846922504177
ema_50_slope,0,18364,14845,-0.02830327192243803,4.5939772361898665,-1.0633415588969697,2.9973196055754663,54.20387715094751,55.08251936679016,-0.00017599758344221606,0.037136492742225975,-0.044985393152288215,-0.0025125229227359685
ema_50_slope,1,18363,17464,1.5911537301979377,0.2769653767639846,0.5561154432234061,-1.3196922538504159,53.722158688667434,52.62253779202932,0.014436593117424169,0.0029116075379550434,-0.0025125229227359685,-0.0005508772511362825
ema_50_slope,2,18363,15363,-0.4687189630413364,0.5410632851972007,-1.503757250015868,-1.0555943454171999,50.503730327288565,51.51337629369264,-0.005018786652339876,0.0059792058494554665,-0.0005508772511362825,0.0005497331519096224
ema_50_slope,3,18363,20764,3.588691569568613,0.617209230490891,2.553653282594081,-0.9794484001235094,46.10902358002505,49.00789828549412,0.029548565309069342,0.006703306468805449,0.0005497331519096224,0.002641017644352682
ema_50_slope,4,18363,15401,0.49242627681490625,2.5775198139326823,-0.5426120101596253,0.9808621833182818,46.77340303871917,48.50334393870528,0.0034102952429164433,0.023466999809507543,0.002641017644352682,0.038655646387721315
bb_pctb,0,18362,17139,2.615119430479121,1.8852051006853603,1.6252522060500203,0.2885474700709598,56.97636423047599,54.08716961316296,0.018658402305169047,0.017138094852696777,-0.5536616006569909,0.2127766065405152
bb_pctb,1,18362,16017,1.143834590418301,1.3013118926295997,0.1539673659891999,-0.2953457379848008,54.49297462150092,52.98745083348941,0.009194290048226526,0.013347821547978192,0.2127766065405152,0.405760258786871
bb_pctb,2,18361,15739,0.7449380834719929,2.3181066711537093,-0.24492914095710816,0.7214490405393088,50.74886988726104,52.0935256369528,0.0063506681617451245,0.023481517744354245,0.405760258786871,0.6051908265072298
