i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
5541,2021-07-21 12:15:00,SHORT,31558.31,32021.41,88.26567393822981,0.86,0.884,0.031020649123675394,2021,-0.014674423313542408,HIGH
5565,2021-07-21 18:15:00,SHORT,32150.0,32091.6,66.73022444296932,0.785,1.0,0.012747067758606456,2021,0.0018164852255054885,HIGH
5591,2021-07-22 00:45:00,SHORT,32032.77,32038.28,46.674869966370544,0.595,0.88,-0.003562353156362494,2021,-0.00017201134962722235,Q3
5615,2021-07-22 06:45:00,LONG,32024.42,31797.64,25.90284388277949,0.105,0.388,0.003080868732314623,2021,-0.0070814709524793535,LOW
5673,2021-07-22 21:15:00,LONG,32274.38,32355.09,26.002018699263207,0.015,0.122,0.00412672120426595,2021,0.002500745173106319,LOW
5721,2021-07-23 09:15:00,LONG,32439.43,32393.94,23.074416172360895,0.315,0.32,-0.001556478916589711,2021,-0.0014023057741767227,LOW
5775,2021-07-23 22:45:00,SHORT,33117.26,33643.66,60.90185276116684,1.0,0.71,0.014764637551665573,2021,-0.015895034794545244,HIGH
5799,2021-07-24 04:45:00,SHORT,33657.87,33607.67,59.14298829210036,0.255,0.126,0.021948383178988996,2021,0.0014914788131276389,HIGH
5925,2021-07-25 12:15:00,LONG,34297.6,34150.11,31.205768934483185,0.6,0.262,4.6652670865364617e-05,2021,-0.004300300895689435,Q2
5949,2021-07-25 18:15:00,LONG,34420.01,34448.65,32.042930040363835,0.68,0.476,0.00301633325076864,2021,0.0008320741336216758,Q2
6039,2021-07-26 16:45:00,SHORT,39043.13,37748.34,33.316682765364384,0.885,0.87,0.012088353621865848,2021,0.03316306863717128,Q2
6063,2021-07-26 22:45:00,LONG,37569.73,36531.04,48.12324183354317,0.935,0.962,-0.027685036529361714,2021,-0.027646991341167538,Q3
6094,2021-07-27 06:30:00,SHORT,37220.93,37572.55,40.1662704594311,0.465,0.746,-0.03276083491287517,2021,-0.009446835422973112,Q3
6136,2021-07-27 17:00:00,LONG,37706.3,38213.56,25.420100785270126,0.525,0.888,-0.00238910378182153,2021,0.013452924312382672,LOW
