entry_ts,side,entry_px,tp1_px,exit_ts,exit_px,pnl_pct_pos,bars_held,reason,bal_after
2026-04-16 09:30:00,SHORT,74710.75486,74586.23693523333,2026-04-16 10:25:00,74439.99216428571,0.007336219247583715,11,TP1+TRAIL,5174.3004117323
2026-04-16 10:35:00,SHORT,74400.41694000001,74276.4162451,2026-04-16 10:55:00,74365.68682537241,0.0026002000000003504,4,TP1+LOCK,5187.754627662887
2026-04-16 12:15:00,SHORT,74686.75966,74562.28172723332,2026-04-16 13:00:00,74651.8958805907,0.0026002000000003144,9,TP1+LOCK,5201.2438272457375
2026-04-16 13:10:00,SHORT,74767.14358,74642.53167403334,2026-04-16 13:55:00,73706.05612071429,0.02318784266347617,9,TP1+TRAIL,5321.849450766288
2026-04-16 16:00:00,SHORT,74704.85604,74580.3479466,2026-04-16 16:25:00,74669.98381320052,0.0026002000000000447,5,TP1+LOCK,5335.687323708171
2026-04-16 18:55:00,SHORT,74985.0,74860.025,2026-04-16 19:20:00,74949.99700199999,0.0026002000000003335,5,TP1+LOCK,5349.561177887278
2026-04-16 19:35:00,SHORT,75101.17676,,2026-04-16 19:50:00,75366.58431866985,-0.011202000000000219,3,SL,5289.635393572584
2026-04-16 20:00:00,SHORT,75274.64206,75149.18432323333,2026-04-16 20:50:00,75190.61011499999,0.0035745070325215317,10,TP1+TRAIL,5308.543232486383
2026-04-17 08:30:00,SHORT,75309.73504,75184.21881493332,2026-04-17 08:40:00,75274.58045568332,0.002600200000000397,2,TP1+LOCK,5322.346506599497
2026-04-17 08:50:00,SHORT,75710.8548,75584.670042,2026-04-17 09:10:00,75675.51297297936,0.002600200000000174,4,TP1+LOCK,5336.185671985959
2026-04-17 09:20:00,SHORT,75776.3417,,2026-04-17 09:25:00,76044.1352915678,-0.011201999999999816,1,SL,5276.409720088373
2026-04-17 09:35:00,SHORT,75594.97798000001,,2026-04-17 09:50:00,75862.13063218135,-0.011202000000000623,3,SL,5217.30337840394
2026-04-17 10:00:00,SHORT,75733.95018000001,75607.72692970002,2026-04-17 10:20:00,75698.597572056,0.002600199999999872,4,TP1+LOCK,5230.8694106484645
2026-04-17 11:55:00,SHORT,75527.09156,,2026-04-17 12:25:00,75794.00430157305,-0.011202000000000286,6,SL,5172.273211510379
2026-04-17 12:35:00,SHORT,75586.17974,,2026-04-17 12:45:00,75853.30129920116,-0.011201999999999906,2,SL,5114.33340699504
2026-04-17 12:55:00,SHORT,76180.36088000001,,2026-04-17 13:00:00,76449.58227534994,-0.011202000000000408,1,SL,5057.042644169879
2026-04-17 13:10:00,SHORT,76862.02451999999,76733.92114579999,2026-04-17 13:20:00,76826.14532695405,0.0026002000000000984,2,TP1+LOCK,5070.19196645325
2026-04-17 13:30:00,SHORT,76461.2047,,2026-04-17 13:40:00,76731.4185974098,-0.011202000000000203,2,SL,5013.39567604504
2026-04-17 13:50:00,SHORT,77219.25306,,2026-04-17 14:00:00,77492.14590031405,-0.011202000000000207,2,SL,4957.235617681983
2026-04-19 17:00:00,LONG,75122.72154,75247.9260759,2026-04-19 17:20:00,75157.76879368912,0.00259979999999987,4,TP1+LOCK,4970.123438840832
2026-04-19 17:30:00,LONG,75117.22043999999,,2026-04-19 17:50:00,74851.85633925896,-0.011197999999999734,4,SL,4914.467996572694
2026-04-19 18:00:00,LONG,74673.4317,74797.88741950001,2026-04-19 18:20:00,74708.26934500244,0.0025998000000001186,4,TP1+LOCK,4927.244630470183
